name,phone,email,address,grades
Aiden Tan,9123-4567,aidentan@sst.edu.sg,123 Bedok North Street 3,A,B,B+
Chloe Lim,9876-5432,chloelim@sst.edu.sg,456 Pasir Ris Drive 1,B,A,C
Ethan Lee,8765-4321,ethanlee@sst.edu.sg,789 Tampines Avenue 10,C,B,A
Sophia Ng,9654-3210,sophiang@sst.edu.sg,321 Jurong West Street 65,B,B+,A
Lucas Ong,9234-5678,lucasong@sst.edu.sg,654 Bukit Batok East Avenue 3,A-,C,B
Olivia Chua,9345-6789,oliviachua@sst.edu.sg,987 Yishun Avenue 4,B+,A,B+
Ryan Koh,9456-7890,ryankoh@sst.edu.sg,210 Bishan Street 22,C,B,B
Grace Tan,9567-8901,gracetan@sst.edu.sg,432 Hougang Avenue 8,B,A,C+
Aurelius Robin Tang,9932-1123,OVERFLOW{U_4R3_ST40NG_C0NT1NU3_0N},Singapore Polytechnic,P,O,G
Isaac Chan,9678-9012,isaacchan@sst.edu.sg,876 Sengkang East Road,A,C,B
Hannah Teo,9789-0123,hannahteo@sst.edu.sg,543 Woodlands Avenue 6,B,A-,A
